idx,sentence1,label
12,نمیدونم بره همه اینطوریه یا من انقددددددر با شخصیتای کارتونای میازاکی همذات پنداری میکنم؟ شما سوفی رو ببین آخه.,Nonpolitical
13,سرطان سارکوم ؛ علل، علائم و درمان آن,Nonpolitical
14, هههههههههه غنی خودش طالبه کی میاد مستقیم حرف مزنه البته راست مگی میرن کنار بعد بادولت مستقیم حرف مزنه بله حرفی شما دروسته,Political
15,گوشی های تاشو ؛ آینده ای که زمستان از راه می رسد,Nonpolitical
16,ببینین بچه‌ها این خاکستریه تهران ماست. مراقبت کنین منم دارم میام تو این خاکستریه.,Nonpolitical
17, دوستان محجبه که میان اینجا، یه تزی دارن؛ میگن وقتی دزدی وجود نداره چرا در خونتو قفل بزنی!سپس حجاب را برداشته و از عذاب وجدان خود می کاهند...,Political
18, البته خود توییت منظور بر این بود که اگر من از جوانان قبل انقلاب بودم,Political
19, ولی باز این از طرحِ برنده خیلی بهتره ــ به‌زعمِ بنده البته.,Nonpolitical
20,#شترانپالایش نفت تهران امروز 5000 تن وکیوم باتوم با قیمت پایه 22700 ریال (برابر با پایه قبلی)  در بورس کالا عرضه کرد که 940 تن به قیمت پایه معامله گردید.#بورس_کالا,Nonpolitical
21, خیلی ناراحت میشم و با خودم میگم عجب غلطی کردم گفتم نه,Nonpolitical
22,لازم نیس با بقیه دعوا کنی و بهشون بفهمونی ک ایشون مال منهطرفت اگه آدم باشه خودش همه‌ی حد و مرز ها رو حفظ میکنه ک کسی پاشو از…,Nonpolitical
23,بیاد بیاوریم رفیق علیرضا سپاسی آشتیانی را که رژیم در سال شصت برای مصاحبه گرفتن او را تا سر حد جنون #شکنجه داد. #طراحی_سوخته  #سپیده_قلیان #اسماعیل_بخشی,Political
24,یه مشت سردار آزمونیم الان که سردار آزمون وار، آزمون ها رو یکی پس از دیگری گند میزنیم,Nonpolitical
25,ال‍ان دیگه امام رضا از خود خدا هم حزب‌اللهی‌تر محسوب میشه :))),Political
26, جنگ و خوب گفتید ؟درس و کار که روزمرگیه هر ادامیه هدف نیست که,Nonpolitical
27,شِوِد 32497 ساعت پیش داشت باقالی پلو می‌زد با ژله.,Nonpolitical
28,برگردم همدان این پسر توریسته رو پیدا کنم گولش بزنم دلاراشو بگیرم,Nonpolitical
29,به هیچ روزنامه نگاری در جمهوری اسلامی نمی‌شود اعتماد کرد.همانطور که سردبیر کیهان #حسین_شریعتمداری ابتدا سربازجو #اوین…,Political
30,حالا متوجه شدید که چرا #صداوسیما عکس #سلیمانی رو توسط #جلیقه_زردها به نمایش گذاشت چون میخواستد; ربطش بِدن به   انقلاب اسلامی,Political
31,اصولا نثر پرتو شریعتمداری رو دوست دارم.امروز هم که تولد ویرجینیا وولفه و من صبح رو با خوندن سفرنامه‌ش به خانه وولف شروع کردم. چی بهتر از این.  آلونک ویرجینیا وولف,Nonpolitical
32,شواهد نشون میده سرماخوردگی وارد فاز جدیدی شده و به استخون درد رسیده. یکی بهش بگه دست از سر من برداره‌‌ دیوونه شدم از دستش 😭😭,Nonpolitical
33,یه رفیقم دارم ک شعارش اینهنمیدونم کی هست و کجاییو چه شکلی هستیولی مطمئن باش یه روز پیدات میکنم و عاشقت میشمدهن ما رو هم سرویس کرده استاد!,Nonpolitical
34,کلا مشک آن است که خود ببوید نه اینکه عطار هی قسم و آیه بخونه که بو کن، نه تو رو خدا بو کن...ببین چه بوی خوبی میدم.,Nonpolitical
35,حوصله ای که سر رفته رو باید رید توش,Nonpolitical
36, وقتی گذرت به جمعی افتاده و از شوخی‌هاشون سر درنمیاری :))))))),Nonpolitical
37, 😂 😂 والا ب خودش میومد همینقد باشه,Nonpolitical
38,دختره نوشته ۵۰۰ تاخاستگار دارم... من هر چی فکر میکنم میبینم ۵۰۰ تا خاستگار خیلی زیاده...فکر کنم باباش اینو گذاشته تو دیوار 😂😂‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,Nonpolitical
39, لابد دلشو زده بوده :/ چ بدانم 😂,Nonpolitical
40,"""درجبهه فاطمی که باشی """"نورٌعلی نور""""هستیدرکنارفاطمه نباشی، هرکجاکه باشی """" أَوْ كَظُلُماتٍ فِي بَحْرٍ لُجِّيٍّ يَغْشاهُ مَوْ…""",Nonpolitical
41, آدم رو یاد آثار خدابیامورز بولتزمن و ژول ورن میندازه,Nonpolitical
42,الان که سه ماه از رفتنش میگذره بعضی وقتا یادم میره که همچین آدمی وجود داشته به روز.,Nonpolitical
43,1.5 کیلو گوشت در امریکای جهانخوارکه مزد کارگر و هزینه ها اونجا اینقدر زیادم هست حقوق 1.5ساعت کار کرد کارگر است!همین گوشت،در…,Political
44,سالهاست که ندیدمت، اما باز هم از دیدنت سیر نمیشوم,Nonpolitical
45,رویترز: کره جنوبی واردات نفت ایران را از سر می‌گیردکیم جون، مدیر اجرایی و رئیس شرکت 'نوآوری اس.کِی. انرژی' کره جنوبی:خریداران نفتی کشورش انتظار دارند از اواخر ماه جاری میلادی (اوایل بهمن) و یا حداکثر اوایل ماه آینده میلادی (اواسط بهمن) خرید نفتی از…,Political
46, بتولی وحومهمهدوی کنی از یاران عمام ملعون بودریسس مصلحت وشورای نگهبان وخبرگانو کلا ریس پیروپاتالا بود وخودشم چن سال پیش سقط شد,Political
47,بیا با هم بســـازیم وطندار این وطن رابیا با هم بخـــوانیم سرود ســـاختن را,Political
48,🎼 ترانه‌ای زیبا برای کریسمس و آغاز سال نو میلادی ترانه 🎤 با صدای گرم ویگنیادش به‌خیر... 💙#ویگن  #کریسمس #سال_نو_میلادی 👇👇🍃#ايران,Nonpolitical
49,#چهل_سال زنان سرپرست خانواده #چهل_سال خودکشی #چهل_سال بیکاری #چهل_سال درد درد  #چهل_سال_دیکتاتوری دیگربس است مرگ براصل ولایت فقیه,Political
50,پاشو بیا بشین رو به روم بخند چالت معلوم بشه خستگیم دربره ، پاشو بیا سرمو بذارم رو شونت چشامو ببندم ز غوغای جهان فارغ بشم ،…,Nonpolitical
51,برای ایجاد صلح وامنیت در منطقه خاور میانه #میلیونی_از_کاراکاس_تا_تهران,Political
52,یکی بعد ۱۵ سال منو دید گفت این خیلی مُخ بود نمی‌دونم چرا رفت سر این کارفکر کنم سال به سال خنگ‌تر می‌شم,Nonpolitical
53, بی‌جواب ترین سؤالیه ک میتونستید ازم بپرسیدنه میدونم و نه میتونم ب جواب منطقی‌ای برسم,Nonpolitical
54,عکسی است از کشتار درسیم آنها کشته شدند تا امروز سیاستمدار کوردی برای مزار قاتلشان دسته گل ببرد نمیدانم آن کشته شده‌ها اصلا قبری دارند یا نه,Political
55,مارتین لوتر کینگ با قد راست به پیشواز حوادث رفت و در راه خدمت به ملت محروم خویش مبارزه کرد.,Political
56,خب خب خب سریال خوبیه واقعا خوبه و اینکه آبجی مایسل چه گناهی کرده,Nonpolitical
57,برای هزارمین بارمنبع اطلاعات پزشکیتون اینترنت نباشه و اگه ناچار هستید سایت های معتبر رو انتخاب کنین‌ و اطلاعات درست رو از غل…,Nonpolitical
58,بابام وقتی میخواد صدام کنه به جای اسمم میگه ( لوس بابا) زیبا نیست؟ 😁,Nonpolitical
59,جالب اينجاست كه خودشون هم ميدونن اگر بخوان روشنفكر و انسان عادي تلقي بشن بايد از فرهنگ گفتاري خودشون فاصله بگيرن و از فن بيان سالم و متعادل استفاده كنن!!!#بگوبرگردشاه,Political
60,تو میگی بدون من دنیا برات زندونه تنگه من میگم بگو عزیزم تو دروغاتم قشنگه,Nonpolitical
61, من بیشتر دکلمه‌ی شعرای خودشو گوش میدم، سراسر حسه لعنتی، چه حالی میکرده آیدا,Nonpolitical
62,کاش به بچه دبیرستانی بودم و واسه اینکه ترغیب بشم واسه امتحانات بخونم موهامو از ته میزدم,Nonpolitical
63,جملات الهام بخش میخونم سرمو تکون میدمچشمامو تنگ میکنمو به افق خیره میشمکه سرزنشگر درونم ملتفت بشه,Nonpolitical
64,سرویس ایمیل خوب ایرانی شبیه mailerlite یا sendgrid چی میشناسید؟ تجربه استفاده ازش هم بنویسید 🙏#ریتوییت لطفاً اگر جواب سوال نمی‌دونید ❤️,Nonpolitical
65, آره. اول حسابی آب خورد. بعد دستش رو کرد اون تو که خنک بشه :)),Nonpolitical
66,  اهان اره شاید ولی مدلای دیگشو دیدم داشت,Nonpolitical
67, تو که جور عجیبی نیستی، چرا بد نگاهت کنن؟!,Nonpolitical
68, اینا باندن پ اسن پ.لها به دست خودشون نمیرسه من معمولا بجای پول میوه یا ابمیوه میدم بهشون,Nonpolitical
69,تو قصه‌هام الان که بعد مدتها خوندم یه ویژگی پیدا کردم که دوستش داشتم. شدیدن به نقاط بالای قصه حمله میکنم، به شخصیتای اصلی یا اتفاقای مهم . مدام در حال جابجایی واقعیتا و ایجاد موقعیت مسخرم:/,Nonpolitical
70,"""بنظرتون تفاوت شخصیتی اونایی که """"التماس دعا دارن برا هل دادنشون"""" با اونایی که """"نان از عمل خویش میخورن"""" چیه؟#ريتوييت_لطفا ميخوام به یه نتیجه کلی برسم ببینم از اینکارا بکنم یا نه😁#ريتويت""",Nonpolitical
71, كس مس تو دانشگا دولتى كمههمشونم سگ سيبيلن قبول كن اينو تا بريم مرحله بعد,Nonpolitical
72,هر روز میگذره واقعیت امریکا بیش ازپیش برای جهانیان نمایان میشود #از_خاشقچي_تا_مرضيه#From_Khashoggi_to_marziehhashemi,Political
73, شخصیت بسیار بی عرضه و بی اقتدار.کاش به جاش اشرف ملکه ایران بود.,Political
74, اصلا من یه فحشایی نوشتم که نگوو 😂,Nonpolitical
75,خواهرزادم سوم ابتداییهاومده پیشم میگه خاله امتحان داشتم جواب چند تا سوال نمی‌دونستم عمدا اسم خودم رو برگه ننوشتم برگه رو…,Nonpolitical
76, تولدتون مبارک باشه، لطفا یه دایرکت به ما بدید کادوی تولدتون رو بهتون بدیم 🎁😊,Nonpolitical
77, گرافیک آنبورد برای فوتوشاپ یا ایلستریتر تا چی خوبه؟,Nonpolitical
78,اعتراض کردن که دهنمکی وقتی در مورد فوتبال شناختی نداره چرا نظر داده؟باید عرض کنم تو اخراجی های دو چه کسی اون صحنه های ناب و حماسی و تا ابد ماندگار مسابقه فوتبال رو کارگردانی کرده؟؟,Nonpolitical
79, این شخص نماینده اسرائیل در سازمان ملل است که خلیج فارس رو خلیج عربی عنوان میکنه....سریعا باید پایخگو باشید…,Political
80, آره خب اما عقل حکم میکنه وقتی آنقدر اتفاقای بد و خطرناک داره براشون میفته، جنبه احتیاط رو بیشتر رعایت کنن ،تازه چندبار دیگه هم بهجت اومده بود تو اتاق برای کشتن فخری,Nonpolitical
81,  مامان بزرگ خدابیامرز منم عاشق پیتزا و پفک بودن,Nonpolitical
82, RT جناب وزیر با تقدیر از مواضع شجاعانه شما علیه فاشیسم مذهبی و تهدید جهانی یعنی بنیادگرایی از شما میخواهیم در اجلاس آینده شورای ملی مقاومت ایران به رهبری خانم رجوی یگانه آلترناتیو دمکراتیک را به رسمیت شناخته و به تروریسیم آخوندها در جهان پایان دهید#چهل_سال,Political
83,با یه همچین حسی🤗😎🤓 بچه‌ها میرن سر کلاس,Nonpolitical
84,دنیای بدون آمریکا ، یقینا قشنگ تر و زیبا تره!!!#USARegimeChange #terrorism_made_in_america,Political
85,من هنوزم شک دارم تو کهگیلویه و بویر احمد و چهار محال بختیاری کسی در حال زندگی باشه,Nonpolitical
86, نه بابا مشکوک کجا بود.اعترافات هردوشون اومده بیروم,Nonpolitical
87,"""بهار استدل خوش است و دل ربااما در زمستان...آغوش...مهربان...تنگتر...گرمترين نفس...آميخته...آغشته به تن عطرها دالاويز با""""ها"""" به """"ها""""گفتنِ عشق...!زمستان به هم نزديكتر بوديم از هراسِ سوزِ تنهايي دل آغوشتر،دوست داشتني تر بوديم من و تو...""",Nonpolitical
88,چند روز پیش وین رونی می‌خواست وارد ورزشگاه بشه که مثل بقیه‌ی مردم بازرسی بدنی شد.عدم اجازه برای ورود استاد کدکنی به دانشگاه،…,Political
89,این توهین است که منو زنده و شاداب نگه داشته,Nonpolitical
90,  هر پانزده روز فیلترشکنت رو عوض کن مشکلت حل میشهسوپر وی پی ان بگیریاTurbo free VPN,Nonpolitical
91,  تا چند وقت دیگه دزدی و اختلاس هم جواب نمیده باید کارهای بدتر و بی تربیتی تر  بکنیم.,Political
92,سر کلاس برا بچه ها هری پاتر گذاشتم صحنه داشت 😕😕 از فردا مامانه که زنگ بزنه مدرسه:/ چیکار کنم به نظرتون؟,Nonpolitical
93,   بحرین وزیر زن دارد ؟  در ضمن مونث وزیر    ،    وزیره میشود ؟,Nonpolitical
94, چه جالب! من همیشه فکر می‌کردم برای استتار رنگ خاک ایران انتخاب شده!,Nonpolitical
95, اين موضوع تقريبا تابستون دو سال قبلهو خب اون موقع فقط ١٦ سالش بودو اينكه خواهرش سينگل لايف رو ترجيح ميده ولي به هر حال نگران بود چون كنترلي روي فضاي رابطه ي برادرش نداشت,Nonpolitical
96,پاکسازی۳۳۰۰ کیلومتر جاده از برف در مرکزی/ تردد در همه محورها جاری است,Nonpolitical
97,این آمار هایی که پورن-هاب برای ایران میده رو از کجا میاره واقعا ؟ ما مردم که آی-پی ایران نداریم ، فک کنم آمار برای مسئولینیه که نت بدون فیلتر دارن  😂😂کسی خبر داشت مارم در جریان بزاره😂,Nonpolitical
98,از اینکه نمیتونم بعضی چیزا رو برا بقیه توصیف کنم اذیتم :(,Nonpolitical
99, ای وطن حاکم اغیار نبودی ؟ بودیبه جهان ملت بیدار نبودی ؟  بودیزهنر کامل و سرشار نبودی؟  بودیبه همه کار تو هشیار نبودی ؟  بودی چه شدآخر که چنین دربدر و خوار شدیچه شد آیا که تو محتاج به اغیار شدی,Political
100,لامصب اول صبحی تو هر پارکی میری بجای اینکه بوی گُل بیاد بوی گُل میاد🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺,Nonpolitical
101,فدای غربتش یاور نداردبه این غربت كسی باور نداردبه غیبت سوز و اشک و آه داردچو جد خویش سر در چاه داردتو گویی خار در چشمش…,Nonpolitical
102,منشنای این توییت حاوی مقدار زیادی قیمه هست که ریخته شده تو ماستا.,Nonpolitical
103,مدیر عزیزم معتقده کار مال خره نه ما‌…,Nonpolitical
104,من خودم دختر بودم به خودم که پسرم نمیدادم احتمالا,Nonpolitical
105, درود بر شما کلام شما حرف اصلی است . نظام آخوندی به دست کسانی به زمین زده خواهد شد بیشترین ظلم علیه آنها شده است,Political
106, عههه، زبونت رو گاز بگیر. خدا نکنه ایشالا همیشه چهار ستون بدنت سالم باشه,Nonpolitical
107,اهای تویی که زیبایی بیا دایرکت (حتی پسرا),Nonpolitical
108, احسنت#مرگ_بر_آمریکاان شاء الله خدا به شما و پدر گرامی اجر و خیر عظیم عنایت فرمایند,Political
109, حدودی بلدم😂😂بعدش حالا تا جمعه وقت زیاده میگی خودت,Nonpolitical
110, 😊اظهار تأسف وزیر امور خارجهٔ بریتانیای «مکار» موجب مزید مسرت است.,Political
111,به معشوقه هاتون چي ميگين؟- خوشحالت مي كنميا- خوشحالم مي كنمت,Nonpolitical
112,رفتم سالن ديدم ب قصد كشت دارن همو ميزننو فحشو دعوافهميدم شرطيهپرسيدم سر چقده؟!گفتن ١٠٠تومن!!!گفتم كسكشاااااااااا اون ١٠٠تومنو من ميدم كشتين همو واسه ١٠٠تومن اخه 😂😂😂😂🤦🏻‍♂️,Nonpolitical
113,جورابامو با شامپو کلیر شستم و حس میکنم یچیزیش چیزه این وسط.,Nonpolitical
114,خبر حمایت بشار اسد از نیکولاس مادورو یه ضرب المثل رو تداعی میکنه:کوری عصا کش کور دگر شود#میلیونی_از_کاراکاس_تا_تهران #بر…,Nonpolitical
115, 😁😁😁بعید نیست سال دیگه تولدم شیراز باشمببینیم چی پیش میاد,Nonpolitical
116,ولی جالبه دختر رو از یه سری ملت بگیری دیگه نمیتونن عکس بگیرن. عکاسای تقلبی رو اینطوری بشناسید که همه‌ش از دخترا عکس میگیرن.,Nonpolitical
117,  بهبه بهبه. درسته شالکه صفر چاهار تیم فوتباله دیگه چیا بلدی شقا جون?,Nonpolitical
118, تنها امید مردم هستید. مسئولین که به خاطر صندلیشون لال شدنه,Nonpolitical
119,من غلط بکنم دیگه جواب کسی رو تو گروه بدم.,Nonpolitical
120, بندرت کسی رو دیدم که منطقی و خوب زیبا کلام رو اچمز کنه برنامه خوبی بود خوشم اومد شخصا,Political
121, مياي !من بيشتر به تو اميد دارم !💋,Nonpolitical
122,صلی علی محمد تق نظام درآمدصدای اصولگراها هم درآمد#قیام_تا_سرنگونی#IranRegimeChange #دانشجو_کارگر_معلم_اتحاد#اعتصابات_سراسری#خیزش_دی۹۷,Political
123,  بلهخاطرات دوستان شهدا رو بخونیدهمرزم شهید مدافع حرم اینانلو از گریه های اخرین دیدار با فرزندش گفته و فیلم ازش گرفتنگفته های شهید بیضایی تو اخرین روزهای عمرش و ....,Political
124,جاکش های توییتر رو بشناسید ... آیا این سوالهایی که الان بابتش به شاهنشاه توهین میشه از رییس جمهور محبوبتون پرسیدید که چرا سینه چاک سد علی چلاقه ... #جاویدشاه,Political
125,  همه ملیتها و نژادها خوب و بد دارن.فکر کنم حتی  دعوا/جنگ عربها( که اینا انقدر باهاشون بدن )با ترکها بشه،اینا میرن به عربها کمک میکنن :))) بعدم میگن چرا اینجوریه اوضاع.,Nonpolitical
126,اذعان علی ربیعی از معاونان وزارت اطلاعات رژیم ایران: بر اثر شکستن مارپیچ سکوت در جامعه، مردم در ۱۶۰شهر قیام کردند #خیزش_دی۹۷,Political
127,🔻اخبار نیمروزی-۳بهمن۹۷آخرین خبرهای ایران و جهان در ۶۰ ثانیهساعت ۱۳ و ۳۰دقیقه#اعتراضات_سراسری#ایران …,Political
128, هاشمی بودکه الکل را کشف کرد! هاشمی بودکه تلسکوپ را اختراع کرد!هاشمی بودکه پنسیلین را کشف کرد!اولین انسانی که پرواز کرد هاشمی بود!هاشمی بود که به کره ماه سفر کرد!اصلا هاشمی بود که آتش را کشف کرد!حتی در سرزمین گوگوریو وقبل ازجومونگ این هاشمی بودکه شمشیر فولادی ساخت!#ابلهان,Political
129, عی کاش یکم شعر بلد بودم تو مکالمات روزانم استفاده میکردمخیلی چیز باحالیه👍,Nonpolitical
130,   بری ریاضی یا تجربی هم نمیتونی اپلای بگیری بدبخت کونیاز طریقی که بهت گفتم عمل کن,Nonpolitical
131,دو جلسه ست دارم میرم باشگاه! حس می کنم کمر خیلی باریک تر شده!🤣,Nonpolitical
132,جمهوری اسلامی هم با مالزی و یمن و سومالی در جیبوتی بیست و شش بهمن کنفرانس گذاشته و امریکا رو دعوت نکرده. الان ترامپ اونقدر ناراحته که شام سه بسته کنتاکی چیکن کوکا زده و کلی هم گریه کرده.,Political
133,چقدر واژه ی نمیدونم عجیبه، میدونی چی میخوای بگی و نمیدونی چی باید بگی، اون موقع ست که میگی بگم؟ نگم؟ اگه بگم... اگه نگم...…,Nonpolitical
134, از #یک_مشت_تروریست و اوباش انتظارا دارینا شما هم! مگه نمیبینین اونا فقط به #احمقهای_درجه_یک_آمریکایی شیر میدند؟,Political
135,Almost #10YearsChallenge 😂فیسبوک نوشت: این عکس رو ۹ سال پیش تو فیسبوک گذاشته بودم، یعنی ما ۹ ساله فیسبوک داریم و مارک زاکربرگ تو زندیگمونه؟! چرا انقدر گذشت…,Nonpolitical
136,  بااسم واقعی بیادکه ادمفروشی کنی نه خانم این تاکتیک نخ نماشده ،جوونای مردمو بچندمیفروشی,Nonpolitical
137,تناقض یعنی تو کل حرفای شب قبلش حتی یه گوشه اش هم متعلق به تو نبوده ولی بعد خوابشو می بینی که دست در دست توی محل قدیمی دارید قدم می زنید و جالبه که خودشم خواسته!!(این مخ پوکید),Nonpolitical
138,نشستم تو کلبه م وسط جنگلبخاری زغالی روشنهبیرون دیوانه باد میاد و بارون  میزنه به پنجرهولی داخل کلبه م گرمه گرمهدورم پر از کلاف و کاموا و میل و کتابهگربه هام دارن با چنتا از کلافا بازی میکننبوی قهوه کل کلبه رو گرفته#رویا,Nonpolitical
139,همونقد که ازدواج مکرون برام اهمیت داشت این ژانر گوگوش و رها اعتمادیتونم برام مهمه.,Nonpolitical
140,بايد گِل گرفت سر درِ شركتِ پر ادعايى و كه طرحِ لبخندِ طراحى شده ى منو !! آره خودِ منو !!!!! بى اجازه و مجوزِ حق كپى و تكثير تكثير ميكنه!#كناف,Nonpolitical
141, کتک زدن اون که دردی رو دوا نمیکنه. باید دار وندارشو ازش بگیرن و تا آخر عمرش گورخواب بشه!!,Nonpolitical
142,اینکه بایددهه ی فجررا جشن بگیریم یک اصل است اما آیا #جشنواره_فیلم_فجر  این رسالت را به درستی انجام میدهد؟!لطفامنشن کنیدتا اهالی سینماازنظرات شمابهره مند بشن,Political
143, آقای صادقی ول کنین نرده نماز جمعه رو ، خبرای #اسماعیل_بخشی رو می‌خونین؟ برنامه‌ای کمیته حقیقت‌یابی چیزی تونظرتون نیست آیا؟,Political
144,آره میدونی، آخه ما عقده‌ی مرد خوشتیپ و موبلوند (!) داریم! جمع کنید بابا این مسخره‌بازی‌ها و عقده‌ها رو.,Nonpolitical
145,تا حالا یه نفر با زانو نزده تو تخماش که همه اینا یادش بره,Nonpolitical
146,که من ریدم توی قبر کل گروه و واحدهای معارف.,Nonpolitical
147,هیچ هوادار فوتبال و هیچ انسانی نمیتونه حس و حال این لحظات یه هوادار #لیورپول رو درک کنه... بی صبرانه منتظر بازی امشب هستیم,Nonpolitical
148,اونی که از یک بازنده مطلق در #جنگ_جهانی_دوم ، بعنوان یک شاه مقتدر یاد میکنه اسمش چیه؟#رضا_پهلوی #رضا_شاه,Political
149, تو پیجت یه سری کار دیدم با خرس، دلم رفت براااشوووون,Nonpolitical
150,مامانم برا تولدم یه عکس شاد بچگیم رو فرستاد 30 ثانیه ای به عکسم خیره موندم و با شنیدن «چی بودیم چی شدیم» از لبام از خیرگی پریدم :)),Nonpolitical
151, حیف به یکی دیگه نظر دارمکما اینکه تو هم به یکی دیگه کراش داری 😜,Nonpolitical
152,یارو فحش داد آینه‌ش رو به طرز فجیعی زدم ترکوندم. تقصیر خودش بود. نمیدونست من دکترای آینه زدن توو سرعت بالا رو دارم.,Nonpolitical
153, من فكر نميكنم اين عكس مربوط به شعر باشه چون من يادم وقتى به اينجاى شعر رسيد اقاى حسينى فرمودن بقعه خير سخت گشته…,Nonpolitical
154,در بین مترسک ها متحرک؛ انسان شجاعی میبینم که فریاد میزند.مترسک ها ففط نگاه و بی احساس تو خیابانی شهر می روند و اسیر می شود و میمرد انسان و می روید دوباره از بین مترسکها می روید انسانی دیگر,Nonpolitical
155,مهدی یراحی تو موزیک ویدیوی آخرش نمادگرایی نکردهنمادگرایی اونو کرده.,Nonpolitical
156,🔔تازه‌های سایت آشتی با خردتاریخچه علم اصول و فتوا🔴 تاریخچه علم اصول و فتوا://://,Nonpolitical
157, #زهرا_نوید_پورعلاوه برجامعه  که این اخوندهایی دزد و کسخل فاسدش کردند -    دخترهای جوان برای انجام  کار پی…,Political
158,تازگى ها مياى تو توييتر انگار رفتى تو تلگرام و اينستا,Nonpolitical
159,  عب نداره بابا استاد میخواد بده حالا منم اون گوشه میشینم ، اصن ما خانوادتا کم خوریم زیاد سفارش نمیدم 🤪,Nonpolitical
160,صرفا جهت بازی با روح و روان :))),Nonpolitical
161,هزلیات عبید زاکانی صد هزار بار بهتر از هجویات ایرج میرزاست،اگر به طنز و لطیفه علاقه دارید حتما هزلیات عبید زاکانی رو بخونید🙂پ.ن:🔞😉,Nonpolitical
162, بخصوص زنان هم درش نقش داشته باشند. این تی خط یه حکومت است به وسیله همین زنان سرنگون خواهد شد.,Political
163, ولا ، جدی نمی فهمم چرا . ضمنا فدای تو 😘😄,Nonpolitical
164,خواب دیدم خونه‌ی قدیمی بابا اینا یه اتاقش شده مرکز MRI و از شش صبح با صدای بلندگوشون نمی‌ذارن بخوابم. من هم بعد از این که تف کردم روشون رفتم شکایت کنم. #اضغاث‌احلام,Nonpolitical
165,  ایران به نسبت جام جهانی چه جامونده ای داره جر عزت الهی که مصدومه. قلی زاده که اونجا هم بود و بازی نکرد خانزاده هم که اساسن بازیکن نیمکت بوده دیگه همه بودن. کسی دیگه بوده که من الان یادم نیست؟,Nonpolitical
166,بعضی وقت‌ها حس می‌کنی مخاط بینی یخ زده و نمی‌تونی نفس بکشی، ولی بازم لعنتی سرما نمی‌خوری :)),Nonpolitical
167,دیگه با جام جهانیفینالیست شدن تو جام ملت هاو همه‌موفقیت های تیم ملی خدافظی کنید کیروش رفت ؛),Nonpolitical
168,همیشه پیش دوستام رفیق ناباب بودمبه این صورت که ۸۰ درصد عادات بد و بگایی های فعلی اطرافیانم عاملش منم😌,Nonpolitical
169,   تازه تو منشن ها اظهار نگرانی کرده بود که اگه چهره ش مشخص بشه و بفهمن بچه شیعه س ممکنه مثل ادواردو آنیلی سربه نیستش کنن!! :)))))),Political
170,‌اروپاییها باید به ایران مهاجرت کنند نه ما به اروپا اما با بی کفایتی  مسئولین انقلاب شدیم بدبخت ترین و افسرده‌ترین کشو…,Political
171,پس  از تعيين رنگ #فيروزه_اى بعنوان رنگ براندازی توسط #شاهزاده_رضا_پهلوى ، باورمندان به سامانه پادشاهى در تاريخ هفت سپتامبر آغاز بكار #رستاخيز_فيروزه_اى مردم #ايران را با برپايى تجمعاتى بصورت همزمان در شانزده شهر در سراسر جهان اعلام نمود اما دريغ از يك خط خبر #FireSetareh,Political
172, آخ آخ .. کاش میشدا .. برای بازی های بعدی برسونن خودشون رو دیگه .. ای بابا .. چه وضعشه,Nonpolitical
